,target,robot_pos,action,value
348,2,18,0,0.07700726638237636
349,2,18,1,0.021089747548103333
350,2,18,2,0.09210035655026634
351,2,18,3,0.11121572554111481
352,2,18,4,0.12695624927679697
353,2,18,5,0.5716306467851003
354,2,19,0,0.09315706292788188
355,2,19,1,0.03868298729260763
356,2,19,2,0.10408568382263184
357,2,19,3,0.17779781172672907
358,2,19,4,0.12576066702604294
359,2,19,5,0.46051577975352603
360,3,0,0,0.1566711167494456
361,3,0,1,0.06956140945355098
362,3,0,2,0.45791832605997723
363,3,0,3,0.11049278328816096
364,3,0,4,0.15326182544231415
365,3,0,5,0.052094582468271255
366,3,1,0,0.07473137726386388
367,3,1,1,0.025936554186046124
368,3,1,2,0.12710644801457724
369,3,1,3,0.07167017832398415
370,3,1,4,0.11628061284621556
371,3,1,5,0.5842748085657755
372,3,2,0,0.12891036520401636
373,3,2,1,0.07718585555752118
374,3,2,2,0.12254525969425838
375,3,2,3,0.09846402208010356
376,3,2,4,0.24754212299982706
377,3,2,5,0.32535239557425183
378,3,3,0,0.15034358700116476
379,3,3,1,0.10569071024656296
380,3,3,2,0.1653579299648603
381,3,3,3,0.11300119012594223
382,3,3,4,0.3443617324034373
383,3,3,5,0.12124484280745189
384,3,4,0,0.1459327687819799
385,3,4,1,0.07682079821825027
386,3,4,2,0.21147698163986206
387,3,4,3,0.11730878551801045
388,3,4,4,0.2807294378678004
389,3,4,5,0.16773125529289246
390,3,5,0,0.12434524794419606
391,3,5,1,0.063695694009463
392,3,5,2,0.14200723419586816
393,3,5,3,0.09380388011535008
394,3,5,4,0.19528926412264505
395,3,5,5,0.3808586647113164
396,3,6,0,0.12168980141480763
397,3,6,1,0.07320447141925494
398,3,6,2,0.15062320480744043
399,3,6,3,0.09542104105154674
400,3,6,4,0.20138171563545862
401,3,6,5,0.35767978926499683
402,3,7,0,0.12339447438716888
403,3,7,1,0.0533732237915198
404,3,7,2,0.15985305607318878
405,3,7,3,0.0937327394882838
406,3,7,4,0.2365491439898809
407,3,7,5,0.33309734364350635
408,3,8,0,0.1324035252134005
409,3,8,1,0.05306330323219299
410,3,8,2,0.2335520659883817
411,3,8,3,0.12375772247711818
412,3,8,4,0.15386690696080527
413,3,8,5,0.30335648357868195
414,3,9,0,0.13049318144718805
415,3,9,1,0.06625388190150261
416,3,9,2,0.21265422801176706
417,3,9,3,0.12012624492247899
418,3,9,4,0.14907592038313547
419,3,9,5,0.32139650483926135
420,3,10,0,0.1188484604159991
421,3,10,1,0.04722995311021805
422,3,10,2,0.15055939803520837
423,3,10,3,0.10770080983638763
424,3,10,4,0.18140589694182077
425,3,10,5,0.39425545930862427
426,3,11,0,0.08644171804189682
427,3,11,1,0.0693891029804945
428,3,11,2,0.05819464847445488
429,3,11,3,0.08389273037513097
430,3,11,4,0.10411075254281361
431,3,11,5,0.5979710221290588
432,3,12,0,0.11169254034757614
433,3,12,1,0.10632200539112091
434,3,12,2,0.07408112722138564
435,3,12,3,0.1203056313097477
436,3,12,4,0.09470804532368977
437,3,12,5,0.49289066592852276
438,3,13,0,0.04170102998614311
439,3,13,1,0.02793953816095988
440,3,13,2,0.011695686417321364
441,3,13,3,0.027811244130134583
442,3,13,4,0.0742401306827863
443,3,13,5,0.8166124025980631
444,3,14,0,0.0944106491903464
445,3,14,1,0.38300009692708653
446,3,14,2,0.04653432282308737
447,3,14,3,0.07625110819935799
448,3,14,4,0.1580848495165507
449,3,14,5,0.24171901304847174
450,3,15,0,0.12530064086119333
451,3,15,1,0.3371618588765462
452,3,15,2,0.07674023881554604
453,3,15,3,0.08317066729068756
454,3,15,4,0.21646310885747275
455,3,15,5,0.16116346680306984
456,3,16,0,0.16482180853684744
457,3,16,1,0.2749446630477905
458,3,16,2,0.21124926209449768
459,3,16,3,0.12085771063963573
460,3,16,4,0.19319053987661997
461,3,16,5,0.034936021806061035
462,3,17,0,0.16247707605361938
463,3,17,1,0.4410548706849416
464,3,17,2,0.16392017900943756
465,3,17,3,0.10788588970899582
466,3,17,4,0.12424460550149281
467,3,17,5,0.00041736331816840294
468,3,18,0,0.07056122149030368
469,3,18,1,0.031420727570851646
470,3,18,2,0.09858092665672302
471,3,18,3,0.06407459452748299
472,3,18,4,0.11391624808311462
473,3,18,5,0.621446301539739
474,3,19,0,0.09454011668761571
475,3,19,1,0.05175464600324631
476,3,19,2,0.09630357225735982
477,3,19,3,0.0903174914419651
478,3,19,4,0.12830759336551031
479,3,19,5,0.5387765566507975
